-73.70445107	1,value
-73.704554563	3,value
-73.704579225	5,value
-73.704599378	6,value
-73.704618868	6,value
-73.704627169	21,value
-73.704640188	7,value
-73.70465218	1,value
-73.704671141	1,value
-73.704708877	2,value
-73.704779209	8,value
-73.704789157	8,value
-73.704845924	1,value
-73.704883609	2,value
-73.704891173	2,value
-73.704975377	10,value
-73.705040571	9,value
-73.705088394	1,value
-73.705103761	1,value
-73.705105015	2,value
-73.705109742	5,value
-73.705122208	4,value
-73.705188002	2,value
-73.705256903	3,value
-73.705280543	14,value
-73.705301962	6,value
-73.705310586	1,value
-73.705314174	4,value
-73.705328074	2,value
-73.705340342	6,value
-73.705372261	1,value
-73.705442977	11,value
-73.705488772	4,value
-73.705502433	8,value
-73.705527006	17,value
-73.705535326	3,value
-73.705539863	18,value
-73.705575687	8,value
-73.70562228	4,value
-73.705630042	2,value
-73.705656084	7,value
-73.705679866	16,value
-73.705692195	14,value
-73.705704034	5,value
-73.705776543	4,value
-73.705783126	1,value
-73.70579316	1,value
-73.705910898	14,value
-73.705932554	7,value
-73.705961734	14,value
-73.705962831	2,value
-73.705977107	64,value
-73.706037376	32,value
-73.706042005	8,value
-73.706045237	12,value
-73.706073804	1,value
-73.706097547	6,value
-73.706183622	12,value
-73.706234557	3,value
-73.706240202	5,value
-73.706246107	4,value
-73.706293448	1,value
-73.70629818	2,value
-73.706306745	11,value
-73.706377827	10,value
-73.706390679	19,value
-73.706405495	3,value
-73.706442799	8,value
-73.70648152	1,value
-73.706514787	1,value
-73.706533143	2,value
-73.70656621	21,value
-73.706596761	211,value
-73.706627729	8,value
-73.706628767	11,value
-73.706646141	10,value
-73.706685998	2,value
-73.706706323	1,value
-73.706715683	1,value
-73.706737183	1,value
-73.706744999	2,value
-73.70675379	2,value
-73.70679004	4,value
-73.706809463	18,value
-73.706850011	5,value
-73.706864847	4,value
-73.706890374	11,value
-73.706932948	1,value
-73.706946099	1,value
-73.706966281	5,value
-73.707009364	1,value
-73.707014334	2,value
-73.707086706	8,value
-73.707103897	4,value
-73.707133834	3,value
-73.707141034	4,value
-73.707188852	1,value
-73.707194762	41,value
-73.70719656	1,value
-73.707203164	1,value
-73.707209479	9,value
-73.707245361	2,value
-73.707258495	20,value
-73.707261585	9,value
-73.707341055	9,value
-73.707349339	2,value
-73.707387995	1,value
-73.707417762	6,value
-73.707469104	16,value
-73.707478941	4,value
-73.707485504	6,value
-73.707502758	6,value
-73.707560505	11,value
-73.707566867	13,value
-73.707625308	1,value
-73.707630338	7,value
-73.707640357	5,value
-73.707662394	1,value
-73.707672765	1,value
-73.70771596	5,value
-73.707756605	6,value
-73.707767954	7,value
-73.707795843	5,value
-73.707821367	1,value
-73.707869252	36,value
-73.707885286	5,value
-73.707905831	3,value
-73.707969285	17,value
-73.707974825	8,value
-73.70802229	11,value
-73.708041111	10,value
-73.708043935	2,value
-73.708118694	10,value
-73.708128852	15,value
-73.708135262	12,value
-73.708201313	2,value
-73.708235456	2,value
-73.708245035	6,value
-73.708283825	12,value
-73.708284378	2,value
-73.708320743	8,value
-73.70833861	3,value
-73.708368407	13,value
-73.708375431	1,value
-73.708437475	5,value
-73.708460519	2,value
-73.708469889	7,value
-73.708519309	12,value
-73.708539744	9,value
-73.708569294	5,value
-73.708572459	3,value
-73.708593552	11,value
-73.708615537	2,value
-73.708655989	2,value
-73.708692888	1,value
-73.708695349	2,value
-73.708696597	1,value
-73.708703735	5,value
-73.708707159	8,value
-73.708756251	8,value
-73.708772232	41,value
-73.708838505	10,value
-73.708841423	2,value
-73.708847929	3,value
