CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
752602211,12/27/2015,23:00:00,12/28/2015,09:00:00,12/28/2015,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,114,INSIDE,RESIDENCE - APT. HOUSE,,,1009551,218950,40.767615592,-73.908661935,"(40.767615592, -73.908661935)"
978724310,12/27/2015,23:00:00,12/28/2015,02:20:00,12/28/2015,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,,PARKING LOT/GARAGE (PRIVATE),,,1007577,217731,40.764275182,-73.915792527,"(40.764275182, -73.915792527)"
380260791,12/27/2015,22:45:00,12/27/2015,23:00:00,12/28/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71,INSIDE,RESIDENCE - APT. HOUSE,,,1001270,180581,40.662321699,-73.938654284,"(40.662321699, -73.938654284)"
831686329,12/27/2015,22:37:00,12/27/2015,22:40:00,12/28/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,100,INSIDE,RESIDENCE - APT. HOUSE,,,1039823,157020,40.597493847,-73.799887555,"(40.597493847, -73.799887555)"
680029210,12/27/2015,22:30:00,,,12/28/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,RESIDENCE - APT. HOUSE,,,985929,214009,40.754089855,-73.993941298,"(40.754089855, -73.993941298)"
929337011,12/27/2015,22:30:00,,,12/28/2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,DEPARTMENT STORE,,,987220,212676,40.750430768,-73.989282176,"(40.750430768, -73.989282176)"
419016544,12/27/2015,22:30:00,,,12/28/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,BARUCH,990286,200467,40.7169185,-73.978227372,"(40.7169185, -73.978227372)"
644072001,12/27/2015,22:30:00,12/27/2015,22:45:00,12/28/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,120,,STREET,,,961273,166477,40.623595801,-74.082772059,"(40.623595801, -74.082772059)"
686304551,12/27/2015,22:30:00,12/28/2015,08:00:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,70,FRONT OF,STREET,,,996198,175297,40.647826569,-73.956945239,"(40.647826569, -73.956945239)"
110836598,12/27/2015,22:30:00,12/28/2015,08:50:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,1004500,250318,40.85372503,-73.926801992,"(40.85372503, -73.926801992)"
